record_id,run_id,task_id,trial,profile,outcome,skill,skill_configured,skill_available,skill_invoked,skill_invocation_succeeded,skill_instructions_injected,invocation_count,successful_invocation_count,available_evidence,invocation_lines,success_lines,instruction_lines,stream_status,stream_path,stream_sha256,result_path,result_sha256
20260902T033646Z-synthetic-kimi/0061/01,20260902T033646Z-synthetic-kimi,61,1,synthetic-kimi,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260902T033646Z-synthetic-kimi/tasks/0061/trial-01/claude.stream.jsonl,86984375a13d4177af2359c8e25fa0247f5188760e7836099d060a93ccc5bf83,results/20260902T033646Z-synthetic-kimi/tasks/0061/trial-01/result.json,cc60e28eb96f29d6a96e8b627b7716927ea3b9bc9786b6d23db6a620185f8f58
20260902T035340Z-anthropic-opus/0061/01,20260902T035340Z-anthropic-opus,61,1,anthropic-opus,infrastructure-error,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260902T035340Z-anthropic-opus/tasks/0061/trial-01/claude.stream.jsonl,5f3ea0f431643b517ba5a229baeb9d015ab6fc5ec2eef1fd5907b2a0faf76d62,results/20260902T035340Z-anthropic-opus/tasks/0061/trial-01/result.json,5f1913868f1f9cd5b3eba5e4fd9176babd3cbbcb9400660e03583de797952d1d
20260902T035433Z-anthropic-opus/0061/01,20260902T035433Z-anthropic-opus,61,1,anthropic-opus,infrastructure-error,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260902T035433Z-anthropic-opus/tasks/0061/trial-01/claude.stream.jsonl,d9ee8db659381397db8cf92571cc4bed15a29f0ae8f4daffe3afa144bc35f094,results/20260902T035433Z-anthropic-opus/tasks/0061/trial-01/result.json,4e0c2d6d76d0b1acf11316ab8b821e99a7c7944a9be6fb4a2f73b5eaa65d62a9
20260902T035529Z-anthropic-opus/0061/01,20260902T035529Z-anthropic-opus,61,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260902T035529Z-anthropic-opus/tasks/0061/trial-01/claude.stream.jsonl,cd266d08df50ec87e6d43dc13799a06a54af7efc9eb42acbfdc70444e6e41b5e,results/20260902T035529Z-anthropic-opus/tasks/0061/trial-01/result.json,85208ee06c4774a3b920d0fd0b638a69e87ec7e09f1c1adbc9e5f480fc4f7135
20260904T040040Z-synthetic-qwen/0032/01,20260904T040040Z-synthetic-qwen,32,1,synthetic-qwen,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260904T040040Z-synthetic-qwen/tasks/0032/trial-01/claude.stream.jsonl,937540e2f85c166e84b4e6059a4a62ce2193ff3cea6714b4e4041063ac53ecfb,,
20260904T041629Z-synthetic-kimi/0032/01,20260904T041629Z-synthetic-kimi,32,1,synthetic-kimi,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260904T041629Z-synthetic-kimi/tasks/0032/trial-01/claude.stream.jsonl,e90a21d85a34f353e9b2e2ca90ff9adb4ab7a3da90ba3742792f353c00f9ed1d,,
20260904T041645Z-synthetic-qwen/0032/01,20260904T041645Z-synthetic-qwen,32,1,synthetic-qwen,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260904T041645Z-synthetic-qwen/tasks/0032/trial-01/claude.stream.jsonl,ace4746813f84f22a47c2930f1c02d80d4a4c30eaf069260d3a4c2902ec1266e,,
20260905T002134Z-synthetic-qwen/0032/01,20260905T002134Z-synthetic-qwen,32,1,synthetic-qwen,unfinished,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260905T002134Z-synthetic-qwen/tasks/0032/trial-01/claude.stream.jsonl,caaff0c4aba463951b6a8d086bdf19f970768564d49d6a0be384d257adb47f3d,,
20260908T011133Z-anthropic-opus/0008/01,20260908T011133Z-anthropic-opus,8,1,anthropic-opus,auto-pass,dafny,no,no,no,no,no,0,0,claude.stream.jsonl:1,,,,complete,results/20260908T011133Z-anthropic-opus/tasks/0008/trial-01/claude.stream.jsonl,9696b3f93744875ff7b5d0419f02873fdb3daad74a763521cadd18c7e4fbcc8d,results/20260908T011133Z-anthropic-opus/tasks/0008/trial-01/result.json,c0854308b4e29283d4bd3080f5a7e3d4871fe5b426bee7a4f21e2bd9aab8cd8d
20260908T015200Z-synthetic-kimi/0008/01,20260908T015200Z-synthetic-kimi,8,1,synthetic-kimi,agent-timeout,dafny,no,no,unknown,unknown,unknown,0,0,claude.stream.jsonl:1,,,,partial,results/20260908T015200Z-synthetic-kimi/tasks/0008/trial-01/claude.stream.jsonl,bdbe04c2c1f3db5ff2f0c4335fe0f4167b32da96698398cc1a8025fc77b77621,results/20260908T015200Z-synthetic-kimi/tasks/0008/trial-01/result.json,c94a9ba14805270973d86e898a2694a1b58427164662b2259478379c5398c7eb
